57.3,20180826,55.0,0,0,4.6,6.7,12.0,0,63.7,50.0,99.99,0
57.9,20180827,50.8,0,0,3.8,4.2,7.0,0,69.1,46.4,0.00,0
61.2,20180828,53.2,0,0,0,4.8,8.9,0,68.2,53.6,0.00,0
60.9,20180829,52.9,0,0,5.4,3.7,8.9,0,71.6,48.2,0.00,0
60.3,20180830,52.2,0,0,4.1,3.2,8.9,0,71.6,46.4,0.00,0
63.1,20180831,56.3,0,0,4.9,3.9,8.9,15.0,74.8,53.6,99.99,0
62.4,20180901,58.2,0,0,4.4,4.9,8.9,0,72.1,51.8,0.00,0
60.1,20180902,55.5,0,0,3.1,3.5,8.0,0,71.4,48.2,0.00,0
63.2,20180903,58.7,0,0,3.4,5.1,11.1,0,72.5,50.0,99.99,0
62.8,20180904,58.4,0,0,5.5,5.2,8.9,0,70.3,55.4,0.00,0
61.9,20180905,58.9,0,0,4.5,3.7,6.0,0,70.5,53.6,99.99,0
63.1,20180906,59.8,0,0,1.9,3.1,8.0,0,77.9,50.0,0.00,0
66.7,20180907,51.9,0,0,0,4.2,12.0,0,82.4,51.8,0.00,0
67.9,20180908,50.4,0,0,0,5.7,13.0,0,80.6,57.2,0.00,0
59.8,20180909,56.0,0,0,5.7,2.9,7.0,0,68.4,51.8,99.99,0
61.0,20180910,56.7,0,0,5.3,2.5,7.0,0,72.1,51.8,0.00,0
62.4,20180911,53.7,0,0,5.9,6.6,15.0,0,72.3,50.0,99.99,0
61.8,20180912,52.6,0,0,6.2,9.9,15.9,24.1,69.1,53.6,99.99,0
57.3,20180913,46.6,0,0,6.2,5.6,9.7,20.0,68.4,42.8,0.00,0
53.9,20180914,45.9,0,0,6.2,4.5,8.9,0,66.7,41.0,0.00,0
55.5,20180915,47.1,0,0,6.2,7.3,12.0,0,68.0,41.0,99.99,0
56.2,20180916,45.3,0,0,6.2,5.6,11.7,0,64.4,46.4,0.00,0
53.6,20180917,47.0,0,0,0,6.9,9.9,0,66.2,48.2,0.00,0
64.4,20180918,53.4,0,0,0,6.9,9.9,0,73.4,53.6,0.00,0
65.5,20180919,53.5,0,0,0,7.4,12.0,21.4,82.4,50.0,0.00,0
68.3,20180920,56.4,1015.8,0,0,7.0,14.0,21.4,78.8,57.2,0.00,0
70.1,20180921,53.9,0,0,0,11.4,18.1,25.3,84.2,53.6,0.00,0
57.3,20180922,46.6,0,0,6.2,10.0,15.0,29.1,70.2,50.0,99.99,0
52.8,20180923,44.0,0,0,6.2,9.7,15.0,26.0,60.8,46.4,99.99,0
47.3,20180924,37.4,0,0,6.1,7.8,13.0,21.4,51.8,39.2,0.00,0
46.2,20180925,38.3,0,0,6.1,7.9,14.0,31.1,53.6,39.2,99.99,0
49.4,20180926,45.1,0,0,5.5,11.4,20.0,38.1,57.2,39.2,99.99,0
55.3,20180927,45.0,0,0,5.9,7.9,13.0,24.1,60.8,50.0,99.99,0
49.8,20180928,45.3,0,0,6.2,7.7,14.0,36.9,60.8,42.8,99.99,0
46.9,20180929,38.2,0,0,6.0,6.0,11.1,23.3,53.6,41.0,99.99,0
50.7,20180930,44.0,0,0,6.2,11.0,15.0,27.2,55.4,41.0,99.99,0
48.7,20181001,40.3,0,0,0,6.4,9.9,21.4,59.0,39.2,0.00,0
48.5,20181002,41.6,0,0,6.2,7.0,13.0,18.1,59.0,41.0,99.99,0
45.8,20181003,42.2,0,0,6.1,9.9,22.9,39.0,51.1,41.0,99.99,0
45.7,20181004,37.6,0,0,6.2,8.5,15.9,27.0,49.1,41.0,99.99,0
52.4,20181005,49.2,0,0,5.9,8.4,11.1,19.4,59.2,41.0,99.99,0
56.2,20181006,48.8,0,0,0,9.2,15.0,21.4,64.4,44.6,0.00,0
47.0,20181007,45.0,0,0,5.9,7.1,18.1,21.4,53.6,39.2,99.99,0
46.4,20181008,41.4,0,0,6.2,7.2,12.0,0,53.6,35.6,99.99,0
52.1,20181009,45.1,0,0,6.2,10.5,14.0,27.2,59.0,46.2,99.99,0
55.5,20181010,50.8,0,0,6.2,4.2,8.0,0,58.3,51.8,0.00,0
53.3,20181011,49.9,0,0,6.2,3.1,8.0,0,58.3,44.6,0.00,0
54.1,20181012,49.9,0,0,4.8,7.7,12.0,0,64.8,46.4,0.00,0
53.8,20181013,50.8,0,0,3.8,6.2,9.9,0,66.2,44.6,0.00,0
54.2,20181014,49.0,0,0,1.7,7.9,13.0,0,67.3,42.8,0.00,0
52.3,20181015,42.7,0,0,0,9.1,14.0,0,64.4,42.8,0.00,0
50.8,20181016,44.7,0,0,0,6.3,9.9,0,66.0,41.0,0.00,0
48.7,20181017,44.6,0,0,4.0,4.8,9.9,0,64.4,39.2,0.00,0
52.9,20181018,47.4,0,0,4.4,5.7,8.9,0,66.9,41.0,0.00,0
